@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
81, 0, 84, 0, -18, 7, 4, 103, 98, negative
79, 0, 83, 0, -40, -20, 4, 125, 120, negative
84, 0, 86, -3, -2, 0, 3, 89, 86, negative
77, -1, 81, 0, -40, 24, 4, 123, 118, negative
103, 4, 104, 0, 70, 0, 1, 34, 34, negative
104, 6, 105, 8, 70, 0, 1, 35, 34, negative
81, 0, 84, 0, -14, 6, 3, 100, 96, negative
83, 0, 86, 0, -6, -11, 3, 94, 90, negative
107, 0, 108, -6, 70, -19, 1, 38, 36, negative
44, 45, 77, 0, -22, 0, 34, 101, 66, positive
82, 0, 86, 4, -12, 0, 4, 99, 94, negative
81, 4, 84, 0, -20, 0, 4, 105, 102, negative
85, -1, 89, 0, 6, 19, 4, 84, 80, negative
81, 0, 84, -6, -22, 0, 3, 108, 104, negative
80, 0, 84, 0, -14, 0, 4, 99, 96, negative
84, -3, 88, 0, 2, 0, 3, 85, 82, negative
81, 4, 85, 0, -24, 0, 4, 111, 108, negative
79, 0, 83, 0, -46, -7, 4, 130, 126, negative
79, 0, 83, 0, -38, 10, 4, 122, 118, negative
102, 0, 103, 0, 70, -8, 1, 33, 32, negative
78, 0, 82, -6, -46, 0, 4, 128, 124, negative
102, 0, 103, 4, 70, -9, 1, 33, 32, negative
76, 0, 81, 0, -42, -7, 5, 125, 120, negative
81, 0, 84, 5, -12, 21, 4, 97, 94, negative
77, 0, 81, 0, -40, 8, 4, 123, 118, negative
107, 0, 108, -3, 72, 10, 1, 35, 34, negative
71, 1, 75, 0, -40, 26, 4, 116, 112, negative
81, 0, 84, 0, -20, 13, 4, 105, 102, negative
84, 0, 88, 0, 2, 0, 3, 85, 82, negative
79, 0, 83, 4, -42, -19, 5, 127, 122, negative
79, 0, 83, 0, -28, 18, 4, 112, 108, negative
85, 0, 88, 0, 0, -27, 3, 88, 86, negative
101, 1, 102, 3, 70, -25, 1, 33, 32, negative
81, 0, 85, 0, -40, 6, 4, 126, 122, negative
83, 0, 86, -2, -6, -22, 3, 94, 90, negative
71, 4, 75, 1, -42, -18, 4, 119, 114, negative
82, -3, 86, 0, -2, 6, 4, 88, 84, negative
85, 0, 88, 0, 2, 9, 3, 86, 82, negative
82, -1, 86, -6, -40, 0, 4, 128, 124, negative
82, 5, 86, 0, -40, 5, 4, 128, 124, negative
104, -2, 105, -1, 72, 17, 1, 33, 32, negative
80, 0, 84, 0, -24, 13, 4, 110, 106, negative
101, 0, 102, 0, 72, 552, 1, 30, 28, negative
105, 0, 106, 0, 72, 1, 1, 34, 34, negative
81, 0, 84, 0, -12, 27, 3, 97, 94, negative
78, 1, 82, 0, -40, 11, 4, 123, 120, negative
101, 0, 102, 0, 72, 3, 1, 30, 28, negative
72, 6, 76, 4, -42, -6, 4, 120, 116, negative
79, -1, 83, -3, -40, 10, 4, 125, 120, negative
79, 0, 83, -2, -40, 6, 4, 125, 120, negative
103, 5, 104, 0, 70, 0, 1, 34, 34, negative
77, 0, 81, -6, -40, 0, 4, 122, 118, negative
123, 1409, 105, 1, 36, -5, -18, 69, 86, negative
71, 32, 82, 0, -42, -4, 11, 126, 116, positive
102, 3, 103, 3, 72, 11, 1, 31, 30, negative
85, 0, 89, 0, 2, -12, 4, 86, 82, negative
84, 5, 89, 0, 6, -12, 5, 84, 78, negative
82, 0, 85, 0, -6, 17, 3, 93, 90, negative
81, 2, 84, 0, -14, -13, 3, 100, 96, negative
102, 0, 102, -5, 70, -7, 1, 33, 32, negative
80, -2, 84, 0, -36, 0, 5, 121, 116, negative
107, -1, 108, 0, 72, 13, 1, 36, 34, negative
82, 0, 86, 0, -12, -2, 3, 99, 96, negative
85, -13, 89, 0, 8, 0, 4, 81, 78, negative
107, 0, 108, 0, 70, 0, 1, 38, 36, negative
81, 0, 84, 0, -22, -12, 4, 108, 104, negative
107, 0, 108, 5, 70, 0, 1, 38, 36, negative
81, 0, 84, 0, -18, 20, 4, 103, 98, negative
82, 0, 86, -2, -40, 11, 4, 128, 124, negative
77, -5, 81, 0, -40, 277, 4, 123, 118, negative
102, 1, 104, 8, 70, -4, 2, 34, 32, negative
80, 1, 84, 0, -42, -29, 4, 128, 124, negative
106, 1, 108, 6, 70, 0, 2, 38, 36, negative
47, 44, 77, 0, -22, 0, 30, 101, 70, positive
82, 0, 86, -1, -40, 1, 4, 128, 124, negative
81, -4, 84, 0, -14, 4, 4, 100, 96, negative
105, 1, 106, 0, 70, -1, 1, 36, 36, negative
106, 0, 107, 0, 70, -29, 1, 37, 36, negative
82, 0, 86, 3, -6, 1, 4, 94, 90, negative
82, 0, 86, 0, -42, -25, 4, 130, 126, negative
102, 0, 102, -2, 70, -16, 1, 33, 32, negative
80, -6, 84, -8, -40, 2, 4, 126, 122, negative
84, -1, 87, 0, 0, 0, 3, 87, 84, negative
79, 5, 83, 0, -30, 0, 4, 114, 110, negative
102, 2, 103, 1, 70, -2, 1, 33, 32, negative
43, 29, 77, 0, 28, 0, 34, 48, 14, positive
80, -1, 84, 0, -14, 0, 4, 99, 96, negative
81, 2, 84, 0, -14, 1, 3, 100, 96, negative
81, 0, 86, 3, -42, -28, 5, 130, 124, negative
84, 1, 88, 0, 6, 0, 5, 83, 78, negative
102, 0, 102, -6, 70, -5, 1, 33, 32, negative
105, -4, 107, 0, 70, 0, 1, 37, 36, negative
84, 9, 89, 0, 6, -9, 5, 84, 78, negative
85, 0, 88, -2044, 0, 0, 3, 88, 84, negative
79, -6, 83, -3, -32, 3799, 4, 117, 112, negative
79, 1, 83, 0, -30, 0, 4, 114, 110, negative
81, -4, 84, 0, -14, 2, 4, 100, 96, negative
105, 0, 106, -6, 72, 13, 1, 34, 34, negative
104, 2, 106, 4, 72, 2, 1, 33, 32, negative
84, 4, 86, -3, -4, 0, 3, 92, 88, negative
84, 0, 87, -1, -2, 0, 3, 90, 86, negative
80, 3, 84, 0, -42, 0, 4, 128, 124, negative
82, 1, 86, 0, -10, 4, 3, 96, 92, negative
104, 0, 105, -4, 72, 1, 1, 33, 32, negative
82, 4, 86, 0, -10, 1, 3, 96, 92, negative
82, -1, 86, 1, -4, -28, 4, 91, 88, negative
104, -3, 105, -2, 70, 0, 1, 35, 34, negative
81, 0, 85, -2, -24, 0, 4, 111, 108, negative
107, 2, 108, 0, 70, 0, 1, 38, 38, negative
104, 0, 104, -5, 70, 0, 1, 35, 34, negative
104, 0, 105, -7, 72, 2, 1, 33, 32, negative
76, -1, 81, 0, -42, 0, 5, 125, 120, negative
101, 0, 102, 0, 70, -2, 1, 33, 32, negative
105, 0, 107, -2, 70, -3, 1, 37, 36, negative
102, 0, 102, 0, 70, -2, 1, 33, 32, negative
102, 0, 103, 0, 70, -18, 1, 33, 32, negative
81, 0, 85, 0, -24, -3, 4, 111, 108, negative
81, 0, 84, 0, -20, -8, 4, 105, 102, negative
79, 1, 83, 0, -42, -22, 4, 127, 122, negative
79, 4, 84, 8, -40, 5, 4, 125, 120, negative
81, 0, 84, 0, -14, -15, 3, 99, 96, negative
80, 0, 84, 0, -36, -14, 4, 120, 116, negative
84, 1, 86, -4, -4, 0, 3, 92, 88, negative
81, 0, 84, 0, -14, -11, 4, 100, 96, negative
104, 0, 105, 0, 72, 4, 1, 33, 32, negative
84, 0, 88, 0, 6, -1, 5, 83, 78, negative
103, 5, 104, -1, 70, -2, 1, 35, 34, negative
83, 3, 86, 8, -6, 0, 4, 94, 90, negative
81, 0, 84, 0, -20, -10, 4, 105, 102, negative
84, -1, 88, 0, 6, 0, 4, 83, 80, negative
77, -1, 81, 0, -40, 30, 4, 123, 118, negative
86, 7, 89, 0, 8, 9, 3, 81, 78, negative
81, 0, 84, 0, -18, 17, 4, 103, 98, negative
83, 1, 86, 0, -2, 0, 3, 88, 86, negative
81, 3, 84, 0, -24, 0, 4, 110, 106, negative
102, 0, 103, 0, 72, 28, 1, 31, 30, negative
76, 3, 82, 0, -42, -5, 5, 126, 120, negative
76, 0, 81, 6, -40, 7, 5, 122, 116, negative
82, 0, 85, -1, -10, -29, 3, 95, 92, negative
82, 0, 85, 0, -6, 25, 3, 93, 90, negative
85, 0, 88, 0, 2, -17, 3, 86, 82, negative
79, 0, 83, 0, -42, 9, 4, 127, 122, negative
108, 5, 109, 3, 70, -30, 1, 39, 38, negative
83, 0, 86, 0, -4, 9, 3, 92, 88, negative
82, 0, 86, 0, -10, 16, 3, 96, 92, negative
82, 0, 86, 0, -10, 20, 3, 96, 92, negative
77, 0, 81, 0, -40, 3, 4, 123, 118, negative
82, 0, 85, -4, -2, 9, 3, 88, 84, negative
105, -1, 106, -2, 72, 1, 1, 33, 32, negative
75, 5, 79, 1, -42, 0, 4, 123, 118, negative
79, 5, 83, 0, -28, 0, 4, 112, 108, negative
80, 4, 84, 0, -36, 12, 4, 121, 116, negative
81, 3, 84, 0, -14, -2, 3, 99, 96, negative
60, 50, 82, 0, -40, 28, 22, 123, 102, positive
82, 0, 86, 8, -12, 0, 4, 99, 96, negative
82, 0, 86, 0, -6, 0, 3, 94, 90, negative
76, 1, 81, -3, -42, -1, 5, 125, 120, negative
81, 0, 84, 0, -12, 5, 3, 97, 94, negative
82, 0, 87, 3, -40, 1, 5, 128, 124, negative
85, -2, 89, 0, 6, 26, 4, 84, 80, negative
85, 0, 88, 0, -2, -4, 3, 91, 88, negative
102, 2, 104, 2, 72, 9, 1, 31, 30, negative
82, 0, 86, -1, -42, -25, 4, 130, 126, negative
83, 5, 87, 0, -40, 1, 4, 128, 124, negative
79, 0, 83, 0, -28, 3, 4, 112, 108, negative
79, 0, 83, -5, -32, -5, 4, 117, 112, negative
83, 0, 86, 0, -6, -3, 3, 94, 90, negative
76, 0, 81, -7, -42, -14, 5, 125, 120, negative
84, 0, 87, 5, -2, 0, 3, 90, 86, negative
81, 1, 84, 0, -12, 10, 3, 97, 94, negative
82, 0, 86, 5, -2, 0, 4, 88, 84, negative
79, 0, 83, 0, -38, 3, 4, 122, 118, negative
86, 7, 89, 0, 8, 15, 3, 81, 78, negative
107, 0, 108, 0, 72, 5, 1, 36, 34, negative
103, 0, 104, 4, 70, 0, 1, 35, 34, negative
104, 0, 105, 0, 72, 2, 1, 33, 32, negative
86, 2, 89, 0, 8, 4, 3, 81, 78, negative
80, 0, 84, 5, -42, 0, 5, 128, 124, negative
79, 2, 83, 0, -46, 0, 4, 129, 126, negative
102, 0, 104, 0, 70, -10, 1, 34, 32, negative
80, -1, 84, -1, -42, 4, 5, 128, 124, negative
82, -1, 86, 0, -4, -8, 3, 91, 88, negative
82, 2, 86, 0, -22, 12, 4, 109, 106, negative
85, 0, 88, -14, 0, 0, 3, 88, 84, negative
83, 0, 86, 0, -4, -2, 4, 92, 88, negative
82, 0, 86, 0, -22, 6, 4, 109, 106, negative
104, 4, 106, 5, 72, 7, 1, 33, 32, negative
83, 0, 87, 0, -40, 5, 4, 128, 124, negative
80, 0, 84, 8, -24, 8, 4, 110, 106, negative
84, 1, 88, 0, 0, 3, 3, 88, 84, negative
76, 0, 81, 0, -42, -3, 5, 125, 120, negative
105, -14, 108, 0, 70, 0, 3, 38, 34, negative
81, -1, 84, 0, -14, 5, 4, 100, 96, negative
85, 0, 89, 2, 2, 0, 4, 86, 82, negative
80, 0, 84, 0, -20, 2, 4, 105, 100, negative
101, -1, 102, 0, 70, -2, 1, 33, 32, negative
80, -2, 84, -3, -42, -24, 4, 128, 124, negative
84, -4, 88, 0, 2, 0, 3, 85, 82, negative
72, 8, 76, 5, -42, -8, 4, 120, 116, negative
85, 1, 88, 0, 0, 0, 3, 88, 86, negative
81, 0, 84, 0, -14, 5, 3, 100, 96, negative
84, 0, 88, 0, 0, 15, 3, 88, 84, negative
77, 2, 82, 6, -40, 15, 5, 123, 118, negative
82, 0, 86, 0, -40, 2, 5, 128, 124, negative
107, 4, 108, 1, 72, 5, 1, 36, 34, negative
81, -2, 86, 0, -22, 0, 4, 109, 104, negative
104, 0, 105, -4, 70, -24, 1, 35, 34, negative
84, 0, 88, 0, -2, -8, 3, 90, 88, negative
101, 0, 102, 0, 72, 12, 1, 30, 28, negative
102, 0, 102, -1, 70, -7, 1, 33, 32, negative
81, 0, 84, 0, -20, -13, 4, 105, 102, negative
78, 0, 81, -3, -40, 0, 4, 123, 120, negative
81, -1, 85, 0, -40, 2, 4, 126, 122, negative
107, -1, 108, 0, 72, 1, 1, 36, 34, negative
81, 3, 85, 0, -40, 8, 4, 126, 122, negative
102, 4, 103, 2, 70, -3, 1, 33, 32, negative
83, -1, 86, -3, -4, 0, 3, 92, 88, negative
80, -1, 84, -2, -40, 4, 4, 125, 122, negative
87, 4, 89, 0, 8, 2, 2, 81, 78, negative
85, 0, 88, 0, 0, -11, 3, 88, 86, negative
104, -1, 105, -1, 70, 0, 1, 35, 34, negative
82, -2, 86, 0, -6, 0, 4, 94, 90, negative
104, -3, 105, -2, 70, -30, 1, 35, 34, negative
82, 2, 86, 0, -2, 5, 3, 88, 84, negative
77, 4, 81, 0, -42, 0, 4, 125, 120, negative
105, -4, 107, -2, 70, 0, 2, 37, 34, negative
83, 0, 86, 0, -4, 25, 3, 92, 88, negative
79, 0, 83, -1, -40, 0, 4, 125, 120, negative
82, 0, 86, 3, -12, 0, 4, 99, 94, negative
78, 0, 83, 5, -46, 0, 4, 129, 124, negative
85, 0, 88, -2, 2, -9, 3, 86, 82, negative
123, 656, 105, 1, 36, -4, -18, 69, 86, negative
103, 5, 104, 2, 70, -27, 1, 35, 34, negative
104, 1, 105, 1, 70, 0, 1, 35, 34, negative
107, 1, 108, 0, 70, 0, 1, 38, 36, negative
104, 0, 106, 0, 70, 0, 1, 36, 34, negative
75, 3, 79, 3, -42, 0, 4, 123, 120, negative
84, -2, 88, 0, 6, 0, 4, 83, 80, negative
80, 0, 84, 8, -20, 0, 4, 105, 100, negative
76, 0, 80, -3, -42, -11, 4, 124, 120, negative
79, 0, 83, -3, -32, -3, 4, 117, 112, negative
102, 0, 103, 0, 72, 31, 1, 31, 30, negative
87, 4, 89, 0, 8, 0, 2, 81, 80, negative
106, 0, 108, 0, 70, 0, 1, 38, 36, negative
105, 1, 107, 6, 70, 0, 1, 37, 36, negative
85, 0, 88, 0, 6, 16, 3, 83, 80, negative
82, 0, 86, 0, -42, -29, 5, 130, 126, negative
102, 0, 103, 0, 70, -1, 1, 33, 32, negative
83, 0, 87, 0, -42, -30, 4, 131, 126, negative
