@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
85, 0, 88, 0, 2, 20, 3, 86, 82, negative
85, 0, 88, -2, 6, -7, 3, 83, 80, negative
101, 0, 102, 0, 70, -23, 1, 32, 32, negative
85, 0, 89, 1, 6, 27, 4, 84, 80, negative
73, -15, 77, -18, -40, 1, 4, 118, 114, negative
82, 0, 87, 1, -40, 3, 5, 128, 124, negative
103, 4, 104, -1, 70, -1, 1, 35, 34, negative
85, 0, 88, 3, 2, 0, 3, 86, 82, negative
81, 0, 84, 0, -20, 26, 3, 105, 102, negative
80, -2, 84, 0, -14, -2, 4, 99, 96, negative
102, 0, 102, -4, 70, -3, 1, 33, 32, negative
79, 0, 83, 0, -40, 1, 4, 125, 120, negative
78, 2, 83, 2, -42, -18, 4, 126, 122, negative
79, -3, 83, -4, -40, 5, 4, 124, 120, negative
102, 0, 102, -2, 70, -4, 1, 33, 32, negative
82, 1, 86, 0, -22, 5, 4, 109, 106, negative
105, -4, 106, 0, 70, 0, 1, 36, 36, negative
76, 4, 80, 3, -42, 0, 4, 124, 120, negative
84, 2, 88, 0, -2, 0, 3, 90, 88, negative
79, 0, 83, -3, -38, 0, 4, 122, 118, negative
82, 1, 86, 0, -22, 6, 4, 109, 106, negative
76, 0, 81, 0, -40, 25, 5, 123, 118, negative
81, 4, 84, 0, -20, 0, 4, 105, 102, negative
104, 0, 106, 0, 70, -21, 1, 36, 34, negative
85, 0, 88, 0, 0, -4, 3, 88, 86, negative
85, -2, 89, 0, 8, 0, 4, 81, 78, negative
84, 0, 88, 6, -2, 0, 4, 90, 86, negative
106, -5, 108, 0, 70, -24, 1, 38, 36, negative
105, 4, 106, 0, 70, 0, 1, 36, 34, negative
81, 0, 86, 8, -24, -2, 4, 112, 108, negative
101, 0, 102, 0, 72, 2, 1, 30, 28, negative
105, 3, 108, 0, 70, 0, 2, 38, 36, negative
79, 0, 83, 0, -42, 24, 4, 127, 122, negative
101, 1, 102, 5, 72, 8, 1, 30, 28, negative
104, 3, 105, -1, 70, 0, 1, 35, 34, negative
81, 0, 84, 0, -18, -12, 3, 103, 100, negative
82, 0, 86, 0, -4, -8, 3, 91, 88, negative
81, 0, 84, 0, -22, -10, 3, 108, 104, negative
104, 1, 106, 1, 72, 7, 1, 33, 32, negative
81, 0, 86, 5, -40, 5, 5, 127, 122, negative
82, 0, 86, 0, -4, -19, 3, 91, 88, negative
78, -2, 83, 0, -46, 0, 4, 129, 124, negative
84, -1, 88, 0, 2, 0, 3, 85, 82, negative
86, 4, 89, 0, 2, -8, 3, 86, 84, negative
79, 0, 83, -2, -46, 0, 4, 129, 126, negative
81, 0, 86, 0, -24, -9, 4, 112, 108, negative
83, 0, 86, 0, -6, -17, 3, 94, 90, negative
82, 0, 85, -4, -2, 9, 3, 88, 84, negative
80, 0, 84, 0, -20, 0, 4, 105, 100, negative
102, 0, 102, -1, 70, -5, 1, 33, 32, negative
83, 0, 87, 7, -4, 10, 4, 92, 88, negative
80, 0, 84, 2, -24, 3, 4, 110, 106, negative
82, 1, 86, 0, -6, 0, 3, 94, 90, negative
85, -2, 88, 0, 2, 11, 3, 86, 82, negative
81, 3, 84, 0, -42, 0, 3, 128, 124, negative
85, 0, 88, 8, 0, 0, 3, 88, 84, negative
105, 0, 106, 0, 72, 6, 1, 34, 32, negative
85, 0, 88, -45, 0, 0, 3, 88, 84, negative
105, -5, 106, 2, 70, 0, 2, 36, 34, negative
79, 0, 83, 0, -38, 21, 4, 122, 118, negative
83, -1, 86, -2, -4, 0, 3, 92, 88, negative
80, 3, 84, 0, -40, 6, 4, 126, 122, negative
106, 1, 107, 0, 70, 0, 1, 37, 36, negative
107, 1, 109, 6, 72, 1, 2, 36, 34, negative
81, 2, 83, -8, -6, -968, 3, 91, 88, negative
79, 0, 83, -3, -32, -3, 4, 117, 112, negative
77, 1, 81, 0, -40, 0, 4, 123, 118, negative
83, 0, 86, -2, -4, 4, 3, 92, 88, negative
79, 1, 83, 0, -42, -22, 4, 127, 122, negative
106, 0, 107, -3, 70, 0, 1, 37, 36, negative
83, 0, 86, 0, -4, 17, 3, 92, 88, negative
104, -1, 106, -3, 70, -4, 1, 36, 34, negative
81, 0, 86, 0, -22, 0, 4, 109, 104, negative
85, -2, 88, 0, 2, -22, 3, 86, 82, negative
105, -1, 107, 0, 70, 0, 1, 37, 36, negative
102, 0, 103, 5, 70, -16, 1, 33, 32, negative
103, 0, 104, 0, 70, 0, 1, 35, 34, negative
102, 0, 103, 2, 70, -2, 1, 33, 32, negative
81, 5, 86, 2, -40, 8, 4, 127, 122, negative
81, 0, 84, 0, -12, 7, 3, 97, 94, negative
106, 0, 107, 0, 70, 0, 1, 37, 36, negative
105, 5, 106, 1, 70, 0, 1, 36, 34, negative
85, 0, 88, 3, 6, 0, 3, 83, 80, negative
80, 3, 84, 0, -40, 15, 4, 125, 122, negative
106, 2, 108, 1, 72, 3, 1, 35, 34, negative
85, 5, 89, 0, 8, 18, 4, 81, 78, negative
85, 0, 88, -2, 6, -6, 3, 83, 80, negative
104, -3, 105, -2, 70, 0, 1, 35, 34, negative
77, 0, 81, 0, -40, 3, 4, 123, 118, negative
102, -3, 103, -7, 72, 22, 1, 31, 30, negative
103, 6, 104, 3, 72, 5, 1, 32, 30, negative
81, 0, 84, 0, -20, -6, 4, 105, 102, negative
85, 0, 88, -4, 2, 0, 3, 85, 82, negative
81, 0, 84, -4, -14, 0, 3, 99, 96, negative
83, 0, 87, 6, -4, 1, 4, 92, 88, negative
82, 0, 86, 1, -40, 2, 5, 128, 124, negative
102, 0, 103, 0, 72, 10, 1, 31, 30, negative
79, 0, 83, 0, -28, 1, 4, 112, 108, negative
101, 0, 102, 0, 72, 3, 1, 30, 28, negative
80, -1, 84, -3, -38, -15, 4, 123, 118, negative
81, 0, 85, -3, -24, -5, 4, 111, 108, negative
80, -4, 84, 0, -28, 0, 4, 112, 108, negative
80, 3, 84, 0, -38, -21, 4, 123, 118, negative
79, 0, 84, 5, -38, 0, 4, 123, 118, negative
83, 2, 87, 0, -40, 0, 4, 128, 124, negative
82, 0, 86, 3, -6, 1, 4, 94, 90, negative
81, 3, 85, 0, -24, 0, 4, 111, 108, negative
84, 2, 86, -3, -4, 0, 3, 92, 88, negative
101, 0, 102, 0, 72, 0, 1, 29, 28, negative
78, 0, 81, 0, -40, 346, 4, 123, 120, negative
79, 0, 83, 0, -28, 5, 4, 112, 108, negative
71, -6, 75, -4, -42, -25, 4, 119, 114, negative
77, -4, 81, 0, -40, 0, 4, 123, 118, negative
105, 0, 106, -7, 72, 5, 1, 33, 32, negative
104, 3, 106, 4, 70, 0, 1, 36, 34, negative
105, 2, 107, 5, 72, 2, 1, 35, 34, negative
79, 0, 83, 0, -38, 16, 4, 122, 118, negative
81, 0, 84, 0, -18, 14, 4, 103, 98, negative
105, 6, 106, 2, 70, 0, 1, 36, 34, negative
83, 0, 86, 0, -6, -9, 3, 94, 90, negative
85, 0, 88, 1, 6, 1, 3, 83, 80, negative
80, 1, 84, 0, -24, 26, 4, 110, 106, negative
101, 0, 102, 0, 72, 4122, 1, 30, 28, negative
85, 0, 88, 0, 0, -28, 3, 88, 86, negative
75, -4, 79, -4, -42, -30, 4, 123, 120, negative
79, 0, 83, 0, -30, 12, 4, 114, 110, negative
105, -3, 107, -6, 70, 0, 2, 37, 36, negative
73, 7, 77, 5, -42, -3, 4, 121, 118, negative
76, 0, 81, 0, -42, 0, 4, 125, 120, negative
82, 3, 86, 0, -40, 1, 4, 128, 124, negative
85, -4, 88, 0, 2, 3, 3, 86, 82, negative
80, 0, 84, 0, -36, -1, 4, 120, 116, negative
81, 0, 84, 6, -14, -12, 4, 100, 96, negative
86, 2, 89, 0, 8, 5, 3, 81, 78, negative
80, 0, 84, -4, -20, 0, 4, 105, 100, negative
77, -1, 81, 0, -40, 0, 4, 123, 118, negative
82, 0, 86, 8, -12, 0, 4, 99, 94, negative
82, 1, 86, 0, -12, 0, 3, 99, 96, negative
104, -2, 105, 0, 70, 0, 1, 35, 34, negative
81, 0, 84, 0, -14, 12, 3, 100, 96, negative
78, 0, 81, -3, -40, 0, 4, 123, 120, negative
103, 0, 104, -1, 70, 0, 1, 34, 34, negative
82, 1, 86, 0, -22, 8, 4, 109, 106, negative
85, 0, 88, 0, 6, -2, 3, 83, 80, negative
104, 0, 106, 0, 70, -1, 1, 36, 34, negative
80, 0, 84, 0, -32, 8, 4, 117, 114, negative
106, 3, 107, 1, 72, 0, 1, 35, 34, negative
105, -4, 107, 0, 72, 0, 1, 35, 34, negative
82, -4, 86, 0, -4, -27, 4, 91, 88, negative
76, -3, 81, 0, -40, 0, 5, 122, 118, negative
81, 0, 84, 0, -18, 22, 4, 103, 98, negative
105, 1, 107, 5, 70, 0, 1, 37, 36, negative
82, 5, 86, 0, -12, 0, 3, 99, 96, negative
80, 0, 84, 1, -42, 0, 5, 128, 124, negative
71, 3, 76, 8, -42, -11, 4, 119, 116, negative
103, -2, 104, 0, 70, -1, 1, 35, 34, negative
82, 0, 86, -1, -10, 3, 3, 96, 92, negative
71, 3, 75, 1, -40, 16, 4, 116, 112, negative
105, 1, 106, 0, 70, -2, 1, 36, 36, negative
83, 0, 87, 0, -40, 11, 4, 128, 124, negative
82, -5, 86, -2, -40, 0, 5, 128, 124, negative
81, 0, 84, 0, -14, 4, 3, 100, 96, negative
102, -2, 103, 0, 70, -10, 1, 33, 32, negative
81, 0, 84, 0, -14, 6, 4, 100, 96, negative
123, 213, 105, 0, 36, -2, -18, 69, 86, negative
81, -3, 84, 0, -22, -2, 4, 108, 104, negative
79, 0, 83, 0, -30, 18, 4, 114, 110, negative
106, 2, 108, 8, 70, -30, 2, 38, 36, negative
82, 0, 85, 0, -6, 24, 3, 93, 90, negative
104, -3, 105, 0, 72, 8, 1, 33, 32, negative
79, 0, 84, 8, -38, 0, 4, 123, 118, negative
81, 3, 84, 0, -12, 17, 3, 97, 94, negative
81, -4, 85, 0, -10, 0, 4, 95, 92, negative
80, 5, 84, 0, -24, 19, 4, 110, 106, negative
120, 4692, 76, 5, 36, 6, -43, 40, 84, negative
81, -3, 84, 0, -14, 1, 4, 100, 96, negative
116, 1294, 106, -1, 30, 36, -10, 75, 84, negative
