@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
85, 0, 88, 0, 0, -13, 3, 88, 86, negative
83, 0, 86, -3, -2, 21, 3, 88, 86, negative
102, 0, 103, 0, 70, -21, 1, 33, 32, negative
108, 3, 109, 2, 72, 4, 1, 36, 36, negative
82, 0, 86, 0, -12, -15, 3, 99, 96, negative
85, -3, 89, 0, 8, 0, 4, 81, 78, negative
84, 3, 88, 0, 6, 0, 4, 83, 78, negative
83, 0, 86, -3, -4, 8, 3, 92, 88, negative
77, 2, 81, 0, -42, 0, 4, 125, 122, negative
82, 0, 86, 0, -12, -28, 3, 99, 96, negative
79, -2, 83, 0, -30, 0, 4, 114, 110, negative
103, -1, 104, -4, 72, 10, 1, 31, 30, negative
78, 1, 81, 0, -40, 0, 4, 123, 120, negative
80, 0, 84, 0, -42, -12, 4, 128, 124, negative
80, 0, 84, 0, -36, -11, 4, 120, 116, negative
83, 0, 87, 0, -40, 4, 4, 128, 124, negative
71, -10, 76, -7, -40, 3, 5, 117, 112, negative
102, 0, 102, -4, 72, 22, 1, 30, 30, negative
81, 0, 86, 6, -40, 6, 5, 127, 122, negative
82, 0, 85, 0, -10, -5, 3, 95, 92, negative
83, 0, 86, 0, -4, -12, 3, 92, 88, negative
85, 3, 88, 0, 0, 0, 3, 88, 84, negative
81, 0, 86, 1, -22, 20, 4, 109, 104, negative
82, 0, 85, -1, -6, 6, 3, 93, 90, negative
81, 0, 84, -1, -22, 0, 3, 108, 104, negative
85, 0, 88, 0, 6, 12, 3, 83, 80, negative
85, 1, 88, 0, 2, 5, 3, 86, 82, negative
81, 0, 84, 0, -20, -17, 4, 105, 102, negative
79, 0, 83, 0, -46, -8, 4, 130, 126, negative
78, 0, 81, -2, -40, 0, 4, 123, 120, negative
102, 0, 102, -5, 70, -11, 1, 33, 32, negative
80, 0, 84, 2, -42, -23, 5, 128, 124, negative
80, 0, 84, -1, -36, 0, 4, 120, 116, negative
102, 0, 103, 0, 70, -16, 1, 33, 32, negative
107, 0, 108, 0, 72, 2, 1, 35, 34, negative
85, 0, 88, 0, 0, -22, 3, 88, 86, negative
82, 0, 87, 4, -40, 1, 5, 128, 124, negative
103, 3, 104, 7, 70, -27, 1, 35, 34, negative
81, 0, 84, 0, -18, -21, 3, 103, 100, negative
82, 0, 86, 3, -12, 0, 4, 99, 94, negative
102, 0, 103, 1, 72, 26, 1, 31, 30, negative
79, 0, 83, 0, -42, 9, 4, 127, 122, negative
102, 4, 103, 3, 72, 13, 1, 31, 30, negative
83, 1, 86, 0, -2, 0, 3, 88, 86, negative
84, 0, 88, 0, -2, -18, 3, 90, 88, negative
107, -1, 108, -1, 72, 16, 1, 36, 34, negative
84, 0, 88, 0, 0, 19, 3, 88, 84, negative
106, 5, 107, 0, 70, 0, 1, 37, 36, negative
102, 0, 103, 0, 70, -10, 1, 33, 32, negative
79, 0, 83, 0, -38, 10, 4, 122, 118, negative
104, 4, 105, 0, 72, 5, 1, 33, 32, negative
103, 0, 104, -3, 70, 0, 1, 34, 34, negative
71, 3, 75, 1, -42, -17, 4, 119, 114, negative
83, -2, 86, 0, -2, 0, 3, 89, 86, negative
105, 0, 106, -1, 72, 0, 1, 33, 32, negative
82, 0, 86, 0, -10, 25, 3, 96, 92, negative
81, 0, 84, 0, -22, -8, 3, 108, 104, negative
106, 0, 107, 0, 70, -29, 1, 37, 36, negative
79, 6, 83, 1, -40, 13, 4, 124, 120, negative
81, 0, 86, 0, -40, 2, 4, 127, 122, negative
104, 2, 105, 0, 70, 0, 1, 35, 34, negative
71, 1, 75, 4, -42, -9, 4, 119, 114, negative
85, 0, 88, 0, 0, 28, 3, 88, 84, negative
79, -1, 83, 0, -32, 85, 4, 117, 112, negative
81, 5, 84, 0, -24, 0, 4, 110, 106, negative
80, 0, 85, 5, -40, 8, 5, 126, 122, negative
85, 2, 88, 0, 2, 0, 3, 85, 82, negative
105, -1, 106, 0, 72, 3, 1, 34, 32, negative
104, 0, 104, -3, 70, 0, 1, 35, 34, negative
81, 0, 84, 0, -14, 0, 4, 100, 96, negative
104, 3, 106, 4, 72, 6, 1, 33, 32, negative
81, 0, 84, 0, -14, -5, 3, 99, 96, negative
102, 2, 104, 2, 72, 12, 1, 31, 30, negative
77, -2, 81, 0, -40, 0, 4, 123, 118, negative
83, -3, 87, 1, -4, 0, 4, 92, 88, negative
82, 0, 85, 0, -6, 3, 3, 93, 90, negative
79, 0, 83, 0, -46, -29, 4, 130, 126, negative
78, 0, 83, 2, -46, 0, 4, 129, 124, negative
83, 0, 86, 0, -4, 20, 3, 92, 88, negative
84, 0, 88, -1, -2, -7, 3, 90, 88, negative
103, -1, 104, -3, 70, -23, 1, 34, 34, negative
85, 0, 89, 0, 6, 30, 4, 84, 80, negative
72, -14, 77, -11, -40, 7, 5, 118, 114, negative
81, 0, 86, 3, -40, 3, 5, 127, 122, negative
102, 0, 103, 3, 70, -1, 1, 33, 32, negative
85, 0, 88, 7, 2, 0, 3, 86, 82, negative
82, 0, 86, 0, -10, 29, 3, 96, 92, negative
82, 0, 86, 0, -12, 0, 3, 99, 96, negative
105, 0, 106, -2, 70, -3, 1, 36, 36, negative
79, 0, 83, 0, -38, 1, 4, 122, 118, negative
78, 4, 83, 5, -42, -17, 4, 126, 122, negative
80, 1, 84, 4, -40, 6, 5, 126, 122, negative
105, 0, 107, -3, 70, -4, 1, 37, 36, negative
81, 0, 84, 0, -18, 4, 4, 103, 98, negative
105, -4, 107, -2, 70, 0, 2, 37, 34, negative
79, 5, 83, 0, -42, 0, 4, 127, 122, negative
85, 1, 88, 2, -2, 0, 3, 91, 88, negative
80, 0, 84, 0, -38, 0, 4, 123, 118, negative
80, 0, 84, 4, -24, 7, 4, 110, 106, negative
79, 0, 83, 0, -42, 25, 4, 127, 122, negative
81, 5, 84, 2, -20, 0, 4, 105, 102, negative
102, 0, 103, 0, 70, -17, 1, 33, 32, negative
85, -2, 89, 0, 2, -4, 4, 86, 82, negative
84, -3, 88, 0, 6, 0, 5, 83, 78, negative
84, 0, 88, 4, -2, 0, 4, 90, 86, negative
104, 0, 106, 0, 70, -26, 1, 36, 34, negative
105, 4, 106, 1, 70, 0, 1, 36, 34, negative
81, 0, 85, -3, -24, 0, 4, 111, 108, negative
104, -1, 105, -1, 72, 3, 1, 33, 32, negative
106, 2, 108, 1, 70, 0, 1, 38, 36, negative
80, 0, 84, 0, -40, 21, 4, 125, 122, negative
107, 0, 108, 0, 72, 8, 1, 36, 34, negative
103, 3, 104, 0, 70, 0, 1, 35, 34, negative
81, 0, 84, 0, -14, -12, 4, 100, 96, negative
83, -1, 86, 0, -4, -8, 4, 92, 88, negative
81, 0, 84, 0, -18, -9, 3, 103, 100, negative
107, 0, 108, 0, 72, 7, 1, 36, 34, negative
79, 0, 83, 0, -38, 5, 4, 122, 118, negative
81, 0, 84, -1, -20, -20, 4, 105, 102, negative
78, -5, 82, 0, -46, 0, 4, 128, 124, negative
84, -1, 87, 0, 0, 0, 3, 87, 84, negative
84, -1, 88, -3, 6, -9, 5, 83, 78, negative
79, 0, 83, 1, -46, 0, 5, 130, 126, negative
81, 0, 86, 4, -24, -8, 4, 112, 108, negative
81, 2, 84, 0, -14, -13, 3, 100, 96, negative
82, 0, 85, -3, -2, 10, 3, 88, 84, negative
81, 0, 84, 0, -20, 0, 4, 105, 102, negative
102, 0, 103, 2, 70, -5, 1, 33, 32, negative
85, 0, 88, 0, 2, 10, 3, 86, 82, negative
81, 0, 84, 0, -12, 3, 3, 97, 94, negative
84, 1, 86, -4, -4, 0, 3, 92, 88, negative
85, -1, 88, 0, 6, 13, 3, 83, 80, negative
79, 4, 83, 0, -46, 0, 4, 130, 126, negative
84, 1, 88, 6, 0, 0, 3, 88, 84, negative
102, 0, 103, 0, 72, 6, 1, 31, 30, negative
85, 0, 88, -5, 2, 0, 3, 86, 82, negative
104, -5, 105, -3, 70, 0, 1, 35, 34, negative
79, -2, 84, 0, -40, 19, 4, 125, 120, negative
84, 0, 86, -3, -2, 0, 3, 89, 86, negative
79, 6, 83, 0, -40, 7, 4, 125, 120, negative
106, 1, 108, 4, 70, 0, 2, 38, 36, negative
107, 1, 109, 8, 72, 1, 2, 36, 34, negative
79, 0, 84, 0, -36, -118, 4, 120, 116, negative
79, 0, 84, 1, -42, -3, 4, 128, 124, negative
76, 0, 80, -1, -40, 0, 4, 121, 118, negative
82, 1, 86, 0, -10, 4, 3, 96, 92, negative
78, 0, 82, 0, -42, -22, 4, 126, 122, negative
106, 0, 107, -7, 72, 0, 1, 35, 34, negative
84, 0, 88, 0, 0, 16, 3, 88, 84, negative
101, -3, 102, 0, 70, -4, 1, 33, 32, negative
80, 0, 84, 3, -20, 0, 4, 105, 100, negative
83, 0, 86, -1, -6, -24, 3, 94, 90, negative
106, 0, 108, 0, 70, 0, 1, 38, 36, negative
102, -1, 103, -3, 70, -13, 1, 33, 32, negative
103, 0, 104, 1, 70, 0, 1, 35, 34, negative
101, -2, 102, 0, 70, -2, 1, 33, 32, negative
76, 0, 81, 8, -40, 9, 5, 122, 116, negative
81, 0, 84, 0, -14, 7, 3, 100, 96, negative
105, 0, 107, 4, 70, 0, 1, 37, 36, negative
103, 4, 104, 2, 70, 0, 1, 35, 34, negative
85, 0, 88, -5, 6, 0, 3, 83, 80, negative
79, 0, 83, 3, -40, 15, 5, 125, 120, negative
107, 0, 108, 0, 72, 3, 1, 36, 34, negative
86, 8, 89, 0, 8, 11, 3, 81, 78, negative
84, 0, 88, -1, 6, -5, 5, 83, 78, negative
105, -3, 107, 0, 70, 0, 1, 37, 36, negative
77, 0, 81, 0, -40, 4, 4, 123, 118, negative
85, -2, 89, 0, 6, 31, 4, 84, 80, negative
104, -1, 105, 0, 72, 7, 1, 33, 32, negative
81, 1, 84, 0, -22, -5, 3, 108, 104, negative
84, 2, 87, -1, 0, 0, 3, 87, 84, negative
81, 0, 84, 4, -14, 0, 4, 100, 96, negative
83, 0, 87, 8, -4, 1, 4, 92, 88, negative
81, -1, 85, 0, -40, 2, 4, 126, 122, negative
107, 1, 108, 1, 72, 10, 1, 36, 34, negative
81, 0, 84, 0, -18, 1, 4, 103, 98, negative
108, 1, 109, 1, 72, 2, 1, 36, 36, negative
77, 4, 81, 0, -42, -14, 4, 125, 122, negative
81, 0, 85, -2, -24, -4, 4, 111, 108, negative
81, -1, 85, 0, -24, 0, 4, 111, 106, negative
82, 5, 86, 0, -24, -24, 4, 112, 108, negative
76, 0, 81, 0, -40, 0, 4, 122, 118, negative
76, 1, 80, 0, -42, 0, 4, 124, 120, negative
82, 0, 86, 5, -10, 0, 4, 96, 92, negative
82, 2, 86, 0, -22, 0, 4, 109, 106, negative
84, 3, 88, 0, -2, 0, 3, 90, 88, negative
102, -1, 104, 0, 70, 0, 1, 34, 32, negative
77, -3, 81, 0, -40, 73, 4, 123, 118, negative
80, -1, 84, -2, -40, 4, 4, 125, 122, negative
71, 2, 75, 1, -42, -11, 4, 119, 114, negative
78, -5, 82, 0, -40, 0, 4, 123, 120, negative
103, 4, 104, 9, 72, 5, 1, 32, 30, negative
105, 3, 107, 9, 70, 0, 1, 37, 36, negative
107, 6, 108, 1, 72, 2, 1, 35, 34, negative
80, 0, 84, 1, -36, 16, 5, 121, 116, negative
79, 0, 83, 0, -30, 15, 4, 114, 110, negative
102, 4, 102, 0, 70, 0, 1, 33, 32, negative
82, 0, 85, 0, -10, -12, 3, 95, 92, negative
85, 3, 88, 0, 2, 1, 3, 86, 82, negative
81, 0, 86, 0, -22, 25, 4, 109, 104, negative
79, 0, 84, 0, -10, 32, 4, 94, 90, negative
85, 2, 88, 0, 2, -27, 3, 86, 82, negative
79, 0, 83, 0, -42, -34, 4, 127, 124, negative
80, 0, 84, 1, -40, 14, 5, 126, 122, negative
105, -2, 106, -5, 70, 0, 1, 36, 34, negative
79, 5, 83, 0, -30, -4, 4, 114, 110, negative
77, -1, 81, 0, -42, 0, 4, 125, 120, negative
79, 5, 83, 0, -46, 0, 4, 130, 126, negative
84, 1, 88, 0, 0, 2, 3, 88, 84, negative
76, 2, 81, -7, -42, -2, 5, 125, 120, negative
85, 0, 89, 0, 2, -12, 4, 86, 82, negative
86, 2, 89, 0, 8, 3, 3, 81, 78, negative
80, -1, 84, -7, -20, 0, 4, 105, 100, negative
77, 0, 81, -2, -40, 0, 4, 122, 118, negative
83, 2, 86, 0, -2, 0, 3, 88, 86, negative
81, 3, 85, 0, -12, 0, 4, 98, 94, negative
103, -2, 104, -1, 70, 0, 1, 35, 34, negative
82, 0, 86, 0, -10, 13, 3, 96, 92, negative
79, 0, 83, -6, -40, 0, 4, 125, 120, negative
102, 0, 103, 0, 70, -1, 1, 33, 32, negative
79, 0, 83, 0, -30, 9, 4, 114, 110, negative
85, 0, 88, 0, 0, -2, 3, 88, 86, negative
105, 1, 106, 8, 70, -1, 2, 36, 34, negative
81, -1, 86, 2, -40, 7, 5, 127, 122, negative
105, 2, 106, 8, 70, 0, 2, 36, 34, negative
106, -5, 108, -1, 70, 0, 1, 38, 36, negative
104, -1, 105, 0, 70, -27, 1, 35, 34, negative
79, 0, 83, 0, -30, 2, 4, 114, 110, negative
80, 0, 84, 0, -24, 24, 4, 110, 106, negative
107, -2, 108, 0, 70, 0, 1, 38, 36, negative
82, 0, 86, 1, -6, 2, 4, 94, 90, negative
83, 0, 87, 0, -40, 0, 4, 128, 124, negative
76, -2, 81, -1, -42, -5, 5, 125, 120, negative
104, -5, 106, 0, 72, 0, 1, 33, 32, negative
82, 0, 86, 1, -6, 3, 4, 94, 90, negative
79, 0, 83, 0, -42, 15, 4, 127, 122, negative
102, 6, 103, 3, 70, -6, 1, 33, 32, negative
80, -2, 84, -2, -40, 12, 4, 126, 122, negative
82, 0, 86, -2, -40, 0, 4, 128, 124, negative
81, 0, 84, 0, -14, 5, 3, 100, 96, negative
102, 5, 103, 4, 70, -22, 1, 33, 32, negative
78, 0, 83, 1, -46, 0, 4, 129, 124, negative
87, 4, 89, 0, 8, 2, 2, 81, 78, negative
81, -3, 85, 0, -10, 0, 4, 95, 92, negative
71, -2, 74, -9, -40, 14, 4, 116, 112, negative
108, 5, 109, 3, 70, -30, 1, 39, 38, negative
82, 0, 85, 0, -6, 19, 3, 93, 90, negative
108, -4, 109, 0, 72, 8, 1, 36, 36, negative
79, 1, 83, 0, -46, 0, 4, 129, 126, negative
84, -4, 88, 0, 2, 0, 3, 85, 82, negative
80, 3, 83, -2, -28, 0, 3, 112, 108, negative
104, 6, 105, 7, 72, 11, 1, 33, 32, negative
105, 3328, 86, -2, 46, 0, -19, 39, 58, negative
107, -5, 108, -3, 72, 4, 1, 36, 34, negative
